"","restaurant.type","rate..out.of.5.","num.of.ratings","avg.cost..two.people.","online_order","table.booking","cuisines.type","area","high_score","good_bad_average"
"1","Bakery",2.8,-0.252772387217782,-0.304845520177719,"No","No","Bakery, Desserts","Church Street",0,"1"
"2","Bakery",3.6,-0.299843565014481,-0.0887774398868734,"No","No","Bakery, Desserts","Malleshwaram",1,"2"
"3","Bakery",3.4,-0.262859068174217,-0.520913600468565,"Yes","No","Bakery, Fast Food","Old Airport Road",0,"2"
"4","Bakery",4.3,-0.00228647679963158,-0.304845520177719,"Yes","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",1,"3"
"5","Bakery",3.3,-0.308249132478177,-0.520913600468565,"Yes","No","Bakery, Desserts","Brookefield",0,"1"
"6","Bakery",3.1,-0.309930245970917,-0.304845520177719,"Yes","No","Bakery, Desserts","Brigade Road",0,"1"
"7","Bakery",3.8,-0.254453500710521,-0.520913600468565,"No","No","Bakery, Desserts","Banashankari",1,"3"
"8","Bakery",3.8,-0.294800224536263,-0.304845520177719,"Yes","No","Bakery","Banashankari",1,"3"
"9","Bakery",3.2,-0.304886905492699,-0.0887774398868734,"Yes","No","Bakery, Desserts","Electronic City",0,"1"
"10","Bakery",2.8,-0.252772387217782,-0.736981680759411,"No","No","Bakery","HSR",0,"1"
"11","Bakery",3.1,-0.309930245970917,-0.736981680759411,"Yes","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",0,"1"
"12","Bakery",3.6,-0.288075770565306,-0.304845520177719,"No","No","Bakery","Indiranagar",1,"2"
"14","Bakery",3.2,-0.30320579199996,-0.196811480032296,"Yes","No","Bakery, Desserts","Brookefield",0,"1"
"15","Bakery",3.3,-0.313292472956395,-0.736981680759411,"No","No","Bakery, Arabian","Koramangala 7th Block",0,"1"
"16","Bakery",3.7,-0.271264635637914,-0.520913600468565,"Yes","No","Bakery, Desserts","Brigade Road",1,"2"
"17","Bakery",3.5,-0.306568018985438,-0.736981680759411,"Yes","No","Bakery, Desserts","Bellandur",0,"2"
"18","Bakery",3.2,-0.294800224536263,-0.845015720904834,"No","No","Bakery","Koramangala 7th Block",0,"1"
"19","Bakery",3.7,-0.281351316594349,0.127290640403972,"Yes","No","Bakery, Desserts","Brookefield",1,"2"
"20","Bakery",2.8,-0.252772387217782,-0.845015720904834,"No","No","Bakery","Malleshwaram",0,"1"
"21","Bakery",3.7,-0.167035599088079,-0.736981680759411,"Yes","No","Bakery, French, Fast Food","Electronic City",1,"2"
"22","Bakery",3.5,-0.27967020310161,-0.520913600468565,"No","No","Bakery","Indiranagar",0,"2"
"23","Bakery",2.8,-0.252772387217782,-0.845015720904834,"No","No","Bakery","Basavanagudi",0,"1"
"24","Bakery",3.2,-0.311611359463656,-0.628947640613988,"No","No","Bakery, Desserts","Church Street",0,"1"
"25","Bakery",3.6,-0.296481338029003,-0.520913600468565,"No","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",1,"2"
"26","Bakery",3.7,-0.277989089608871,0.127290640403972,"No","No","Bakery, Salad","Sarjapur Road",1,"2"
"27","Bakery",3.8,-0.304886905492699,-0.196811480032296,"Yes","No","Bakery, Desserts, Beverages","Bannerghatta Road",1,"3"
"28","Bakery",3.6,-0.30320579199996,-0.520913600468565,"No","No","Bakery","Bellandur",1,"2"
"29","Bakery",3.6,-0.27967020310161,-0.0887774398868734,"Yes","No","Bakery, Desserts","Bellandur",1,"2"
"30","Bakery",3.8,-0.219150117362996,-0.304845520177719,"Yes","No","Bakery, Desserts","Electronic City",1,"3"
"31","Bakery",3.6,-0.296481338029003,-0.412879560323142,"Yes","No","Bakery, Desserts","Banashankari",1,"2"
"32","Bakery",3.7,-0.294800224536263,-0.736981680759411,"No","No","Bakery, Desserts","Old Airport Road",1,"2"
"33","Bakery",4.1,0.0666391764026782,-0.0887774398868734,"Yes","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",1,"3"
"34","Bakery",3.5,-0.289756884058045,-0.0887774398868734,"No","No","Bakery, Desserts","Marathahalli",0,"2"
"35","Bakery",3.4,-0.286394657072567,-0.304845520177719,"No","No","Bakery","Jayanagar",0,"2"
"36","Bakery",2.9,-0.291437997550785,-0.628947640613988,"Yes","No","Bakery","Electronic City",0,"1"
"37","Bakery",3.6,-0.281351316594349,-0.736981680759411,"No","No","Bakery","Brigade Road",1,"2"
"38","Bakery",3.3,-0.306568018985438,-0.304845520177719,"Yes","No","Bakery, Desserts","Bannerghatta Road",0,"1"
"39","Bakery",3.5,-0.298162451521742,-0.520913600468565,"No","No","Bakery, Desserts","Banashankari",0,"2"
"40","Bakery",3.6,-0.298162451521742,0.559426800985664,"No","No","Bakery, Desserts","Jayanagar",1,"2"
"41","Bakery",3.7,-0.267902408652435,-0.304845520177719,"Yes","No","Bakery, Desserts","Bellandur",1,"2"
"42","Bakery",3.3,-0.309930245970917,-0.412879560323142,"No","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",0,"1"
"43","Bakery",2.8,-0.252772387217782,-0.0887774398868734,"Yes","No","Bakery","Indiranagar",0,"1"
"44","Bakery",3.4,-0.283032430087088,-0.412879560323142,"Yes","No","Bakery","Electronic City",0,"2"
"45","Bakery",3.3,-0.313292472956395,-0.520913600468565,"No","No","Bakery","Kalyan Nagar",0,"1"
"46","Bakery",3.6,-0.30320579199996,-0.628947640613988,"No","No","Bakery","Indiranagar",1,"2"
"47","Bakery",3.5,-0.30152467850722,-0.628947640613988,"No","No","Bakery, Desserts","Bannerghatta Road",0,"2"
"49","Bakery",3.6,-0.291437997550785,-0.520913600468565,"No","No","Bakery, Desserts","New BEL Road",1,"2"
"50","Bakery",3.2,-0.309930245970917,-0.953049761050257,"No","No","Bakery","Bannerghatta Road",0,"1"
"51","Bakery",3.4,-0.313292472956395,-0.520913600468565,"No","No","Bakery","Rajajinagar",0,"2"
"52","Bakery",3.5,-0.30152467850722,-0.0887774398868734,"No","No","Bakery, Desserts","Frazer Town",0,"2"
"54","Bakery",3.4,-0.299843565014481,0.77549488127651,"No","No","Bakery, Desserts","Old Airport Road",0,"2"
"55","Bakery",3.3,-0.308249132478177,-0.196811480032296,"Yes","No","Desserts, Bakery","Brookefield",0,"1"
"56","Bakery",3.8,-0.262859068174217,-0.304845520177719,"No","No","Bakery, Desserts, Sandwich","Brigade Road",1,"3"
"57","Bakery",3.8,-0.232599025304911,-0.412879560323142,"Yes","No","Bakery, Desserts","Marathahalli",1,"3"
"58","Bakery",2.8,-0.252772387217782,-0.736981680759411,"No","No","Bakery","Bannerghatta Road",0,"1"
"59","Bakery",3.5,-0.27967020310161,-0.520913600468565,"Yes","No","Bakery","Malleshwaram",0,"2"
"60","Bakery",3.4,-0.30152467850722,-0.304845520177719,"No","No","Bakery, Desserts","Frazer Town",0,"2"
"61","Bakery",4,-0.254453500710521,-0.845015720904834,"Yes","No","Bakery, Fast Food","Whitefield",1,"3"
"62","Bakery",3.4,-0.299843565014481,-0.412879560323142,"No","No","Bakery","Kalyan Nagar",0,"2"
"63","Bakery",2.8,-0.252772387217782,0.0408634082876341,"No","No","Bakery, Fast Food","HSR",0,"1"
"64","Bakery",4,-0.197295641957386,-0.520913600468565,"Yes","No","Bakery, French, Desserts","Banashankari",1,"3"
"65","Bakery",2.8,-0.252772387217782,-0.0887774398868734,"Yes","No","Bakery, Desserts","Basavanagudi",0,"1"
"66","Bakery",3.9,-0.225874571333953,-0.412879560323142,"No","No","Bakery, Desserts","Jayanagar",1,"3"
"67","Bakery",3.5,-0.30320579199996,-0.196811480032296,"No","No","Bakery, Desserts","New BEL Road",0,"2"
"68","Bakery",4.3,0.261648341560433,-0.845015720904834,"No","No","Bakery, Fast Food","Frazer Town",1,"3"
"69","Bakery",3.6,-0.294800224536263,-0.953049761050257,"No","No","Bakery","Brigade Road",1,"2"
"70","Bakery",3.6,-0.27967020310161,-0.520913600468565,"Yes","No","Bakery","Malleshwaram",1,"2"
"71","Bakery",3.1,-0.294800224536263,-0.0887774398868734,"Yes","No","Bakery, Desserts","Bellandur",0,"1"
"72","Bakery",3.4,-0.309930245970917,-0.0887774398868734,"Yes","No","Bakery, Desserts","Whitefield",0,"2"
"73","Bakery",3.5,-0.30152467850722,-0.736981680759411,"No","No","Bakery","Brigade Road",0,"2"
"74","Bakery",4.1,-0.11996442129138,-0.0887774398868734,"Yes","No","Bakery, Desserts","Brookefield",1,"3"
"75","Bakery",3.3,-0.311611359463656,-0.628947640613988,"No","No","Bakery, Beverages","Residency Road",0,"1"
"76","Bakery",3.9,-0.25613461420326,-0.520913600468565,"No","No","Bakery, Desserts","Church Street",1,"3"
"77","Bakery",3.3,-0.313292472956395,-0.520913600468565,"Yes","No","Bakery","Indiranagar",0,"1"
"78","Bakery",2.8,-0.252772387217782,-0.520913600468565,"No","No","Bakery","Bellandur",0,"1"
"79","Bakery",2.8,-0.252772387217782,-0.953049761050257,"No","No","Bakery","Indiranagar",0,"1"
"80","Bakery",3.5,-0.283032430087088,0.127290640403972,"Yes","No","Bakery, Desserts","Indiranagar",0,"2"
"81","Bakery",3.8,-0.291437997550785,-0.0887774398868734,"No","No","Bakery, Desserts","Marathahalli",1,"3"
"82","Bakery",4,-0.209063436406561,-0.520913600468565,"No","No","Bakery, Desserts","Banashankari",1,"3"
"83","Bakery",3.7,-0.246047933246825,-0.736981680759411,"No","No","Bakery","Basavanagudi",1,"2"
"84","Bakery",3.4,-0.311611359463656,-0.520913600468565,"No","No","Bakery, Desserts","Koramangala 4th Block",0,"2"
"85","Bakery",4.3,0.0851314248228101,-0.953049761050257,"No","No","Bakery, Desserts","Frazer Town",1,"3"
"86","Bakery",2.9,-0.27967020310161,-0.304845520177719,"Yes","No","Bakery, Desserts","Bellandur",0,"1"
"87","Bakery",2.7,-0.281351316594349,-0.304845520177719,"Yes","No","Bakery","Old Airport Road",0,"1"
"88","Bakery",2.8,-0.252772387217782,-0.304845520177719,"No","No","Bakery","Brigade Road",0,"1"
"89","Bakery",4,-0.261177954681478,-0.628947640613988,"No","No","Bakery","Brookefield",1,"3"
"90","Bakery",4.2,-0.0812988109583769,-0.0887774398868734,"No","No","Bakery","Frazer Town",1,"3"
"92","Bakery",4,-0.197295641957386,-0.628947640613988,"Yes","No","Bakery","Brigade Road",1,"3"
"93","Bakery",4.3,0.132202602619509,0.451392760840241,"Yes","No","Bakery, Desserts, Healthy Food","Bellandur",1,"3"
"94","Bakery",4,-0.262859068174217,-0.736981680759411,"No","No","Bakery","New BEL Road",1,"3"
"95","Bakery",3.6,-0.306568018985438,-0.628947640613988,"No","No","Bakery, Desserts","Banashankari",1,"2"
"96","Bakery",3.5,-0.298162451521742,-0.520913600468565,"No","No","Bakery","Malleshwaram",0,"2"
"97","Bakery",4,-0.056082108567288,-0.520913600468565,"Yes","No","Bakery, Desserts","HSR",1,"3"
"98","Bakery",2.7,-0.288075770565306,-0.0887774398868734,"No","No","Bakery, Fast Food","New BEL Road",0,"1"
"99","Bakery",3.8,-0.277989089608871,-0.520913600468565,"Yes","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",1,"3"
"100","Bakery",3,-0.304886905492699,-0.736981680759411,"No","No","Bakery, Desserts","Bannerghatta Road",0,"1"
"101","Bakery",3.9,-0.101472172871248,-0.304845520177719,"No","No","Bakery","Kalyan Nagar",1,"3"
"102","Bakery",3.5,-0.309930245970917,-0.0887774398868734,"Yes","No","Bakery","Indiranagar",0,"2"
"103","Bakery",3.6,-0.293119111043524,0.127290640403972,"No","No","Bakery","Lavelle Road",1,"2"
"104","Bakery",3.2,-0.309930245970917,-0.0887774398868734,"Yes","No","Bakery, Desserts","Whitefield",0,"1"
"105","Bakery",3.6,-0.183846734015472,-0.736981680759411,"No","No","Bakery","Byresandra,Tavarekere,Madiwala",1,"2"
